"Year";"Site";"Country";"Vehicle";"Family";"Remarks";"Success"
"1960";"CC LC-12";"USA";"Atlas-D Able";"Atlas";"failure";"False"
"1960";"CC LC-17B";"USA";"Thor-DM21 Able-Star";"";"";"True"
"1960";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"failure";"False"
"1960";"Va LC-1-1";"USA";"Atlas-LV3 Agena-A";"Atlas";"failure";"False"
"1960";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"failure";"False"
"1960";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"failure";"False"
"1960";"CC LC-26B";"USA";"Juno-2";"";"";"True"
"1960";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1960";"CC LC-17A";"USA";"Delta";"";"";"True"
"1960";"CC LC-17B";"USA";"Thor-DM21 Able-Star";"";"failure";"False"
"1960";"Ba Ba LC-1/5";"USSR/Russia";"Vostok";"R-7";"";"True"
"1960";"WI LA-3";"USA";"Scout-X1";"";"failure";"False"
"1960";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1960";"CC LC-12";"USA";"Atlas-D Able";"Atlas";"failure";"False"
"1960";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1960";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"failure";"False"
"1961";"Va LC-1-1";"USA";"Atlas-LV3 Agena-A";"Atlas";"";"True"
"1961";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"partial failure";"False"
"1961";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"";"True"
"1961";"WI LA-3";"USA";"Scout-X1";"";"";"True"
"1961";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"CC LC-17B";"USA";"Thor-DM21 Able-Star";"";"partial failure";"False"
"1961";"CC LC-26B";"USA";"Juno-2";"";"failure";"False"
"1961";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
"1961";"CC LC-17A";"USA";"Delta";"";"";"True"
"1961";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
